|B |B |B |B |B |B |B |B |B |B |B |B |B |B |B |
|B |B |B |F |F |F |F |F |F |F |F |F |F |F |B |
|B |B |B |F |F |F |S |F |F |F |F |F |F |F |B |
|B |F |B |F |B |B |B |B |B |B |B |B |B |F |B |
|B |F |F |F |F |F |F |F |F |F |F |F |F |F |B |
|B |F |B |B |F |B |I |V |J |B |F |B |F |F |B |
|B |F |B |F |F |B |V |V |V |B |F |B |D |F |B |
|B |F |B |F |F |B |O |V |L |B |F |B |F |F |B |
|B |F |B |F |F |B |B |B |B |B |F |B |F |F |B |
|B |F |B |F |F |F |F |F |F |F |F |B |F |F |B |
|B |F |B |F |B |B |B |B |B |B |F |B |B |B |B |
|B |F |B |F |F |F |F |F |F |F |F |B |F |F |B |
|B |F |M |F |B |B |B |B |B |B |F |B |F |F |B |
|B |F |B |F |F |F |F |P |F |F |F |F |F |F |B |
|B |B |B |B |B |B |B |B |B |B |B |B |B |B |B |
